id,member,theater,team,periods,created_at,updated_at
1,陈观慧,SNH48,"Team SII","SNH48 1",NULL,NULL
2,陈俊羽,SNH48,"Team SII","SHY48 3",NULL,NULL
3,陈思,SNH48,"Team SII","SNH48 1",NULL,NULL
4,陈雨孜,SNH48,"Team SII","SNH48 12",NULL,NULL
5,戴萌,SNH48,"Team SII","SNH48 1",NULL,NULL
6,蒋芸,SNH48,"Team SII","SNH48 2",NULL,NULL
7,孔肖吟,SNH48,"Team SII","SNH48 1",NULL,NULL
8,刘丽千,SNH48,"Team SII","SNH48 12",NULL,NULL
9,李宇琪,SNH48,"Team SII","SNH48 1",NULL,NULL
10,刘增艳,SNH48,"Team SII","SNH48 5",NULL,NULL
11,莫寒,SNH48,"Team SII","SNH48 1",NULL,NULL
12,钱蓓婷,SNH48,"Team SII","SNH48 1",NULL,NULL
13,邱欣怡,SNH48,"Team SII","SNH48 1",NULL,NULL
14,孙芮,SNH48,"Team SII","SNH48 2",NULL,NULL
15,邵雪聪,SNH48,"Team SII","SNH48 4",NULL,NULL
16,温晶婕,SNH48,"Team SII","SNH48 2",NULL,NULL
17,吴哲晗,SNH48,"Team SII","SNH48 1",NULL,NULL
18,徐晨辰,SNH48,"Team SII","SNH48 1",NULL,NULL
19,许佳琪,SNH48,"Team SII","SNH48 1",NULL,NULL
20,袁丹妮,SNH48,"Team SII","SNH48 3",NULL,NULL
21,袁雨桢,SNH48,"Team SII","SNH48 2",NULL,NULL
22,张语格,SNH48,"Team SII","SNH48 1",NULL,NULL
23,陈佳莹,SNH48,"Team NII","SNH48 2",NULL,NULL
24,冯薪朵,SNH48,"Team NII","SNH48 2",NULL,NULL
25,黄婷婷,SNH48,"Team NII","SNH48 2",NULL,NULL
26,何晓玉,SNH48,"Team NII","SNH48 2",NULL,NULL
27,金莹玥,SNH48,"Team NII","SNH48 8",NULL,NULL
28,江真仪,SNH48,"Team NII","SNH48 7",NULL,NULL
29,刘洁,SNH48,"Team NII","SNH48 10",NULL,NULL
30,陆婷,SNH48,"Team NII","SNH48 2",NULL,NULL
31,卢天惠,SNH48,"Team NII","SHY 1",NULL,NULL
32,马凡,SNH48,"Team NII","SNH48 8",NULL,NULL
33,王诗蒙,SNH48,"Team NII","SHY 1",NULL,NULL
34,谢妮,SNH48,"Team NII","SNH48 3",NULL,NULL
35,易嘉爱,SNH48,"Team NII","SNH48 2",NULL,NULL
36,颜沁,SNH48,"Team NII","SNH48 11",NULL,NULL
37,赵佳蕊,SNH48,"Team NII","SHY 1",NULL,NULL
38,周诗雨,SNH48,"Team NII","SNH48 9",NULL,NULL
39,张茜,SNH48,"Team NII","SNH48 9",NULL,NULL
40,赵粤,SNH48,"Team NII","SNH48 2",NULL,NULL
41,张怡,SNH48,"Team NII","SNH48 5",NULL,NULL
42,张雨鑫,SNH48,"Team NII","SNH48 3",NULL,NULL
43,陈盼,SNH48,"Team HII","SNH48 9",NULL,NULL
44,费沁源,SNH48,"Team HII","SNH48 5",NULL,NULL
45,郭爽,SNH48,"Team HII","CKG48 3",NULL,NULL
46,郝婧怡,SNH48,"Team HII","CKG48 1",NULL,NULL
47,洪珮雲,SNH48,"Team HII","SNH48 5",NULL,NULL
48,姜杉,SNH48,"Team HII","SNH48 5",NULL,NULL
49,蒋舒婷,SNH48,"Team HII","SNH48 5",NULL,NULL
50,江鑫,SNH48,"Team HII","SNH48 12",NULL,NULL
51,林楠,SNH48,"Team HII","SNH48 3",NULL,NULL
52,林舒晴,SNH48,"Team HII","CKG48 1",NULL,NULL
53,林思意,SNH48,"Team HII","SNH48 2",NULL,NULL
54,李玉倩,SNH48,"Team HII","SNH48 9",NULL,NULL
55,戚予珠,SNH48,"Team HII","SNH48 10",NULL,NULL
56,沈梦瑶,SNH48,"Team HII","SNH48 5",NULL,NULL
57,宋雨珊,SNH48,"Team HII","SNH48 5",NULL,NULL
58,孙珍妮,SNH48,"Team HII","SNH48 6",NULL,NULL
59,万丽娜,SNH48,"Team HII","SNH48 2",NULL,NULL
60,王欣颜甜甜,SNH48,"Team HII","SNH48 9",NULL,NULL
61,王奕,SNH48,"Team HII","SNH48 8",NULL,NULL
62,许杨玉琢,SNH48,"Team HII","SNH48 3",NULL,NULL
