id,project_name,project_id,platform,amount,remark,song_id,fanclub_id,is_obsolete,start_time,end_time,created_at,updated_at
754,小家伙的B50,72836,owhat,8707.2,NULL,39,802,0,2019-09-20 21:00,2029-09-18 00:00,2019-09-28 15:37,2019-11-05 20:37
755,陈佳莹17岁生日主题毛巾,68288,owhat,884,NULL,NULL,802,1,2019-08-12 23:00,2019-09-19 00:00,2019-09-28 15:37,2019-10-13 13:57
756,小家伙陈佳莹的生日礼物,67988,owhat,6832.16,NULL,NULL,802,1,2019-08-09 22:00,2019-09-19 00:00,2019-09-28 15:37,2019-10-13 13:57
757,狮子王的生日礼物,67934,owhat,6730.9,NULL,NULL,812,1,2019-08-08 21:30,2029-08-08 00:00,2019-09-28 15:37,2019-10-13 13:57
758,陈琳的生日惊喜计划,67897,owhat,180,NULL,NULL,814,1,2019-08-08 17:17,2019-08-16 23:59,2019-09-28 15:37,2019-10-13 13:57
759,【BEJ48-陈倩楠】信念箭羽C位争夺战,73530,owhat,4697.83,NULL,20,819,0,2019-09-25 20:00,2019-09-27 22:00,2019-09-28 15:37,2019-11-05 17:45
760,【陈倩楠】第六届金曲大赏 测试,73397,owhat,139,NULL,20,819,0,2019-09-23 21:20,2019-09-23 23:30,2019-09-28 15:37,2019-11-05 17:45
761,巡演、千秋乐与羽化成蝶,73713,owhat,130,NULL,NULL,824,1,2019-09-27 12:00,2019-10-08 12:00,2019-09-28 15:37,2019-10-13 13:58
762,程宇璐 2019金曲大赏门票,70875,owhat,880,NULL,46,824,0,2019-09-01 00:00,2019-09-22 23:59,2019-09-28 15:37,2019-11-05 17:45
763,程宇璐2019年8月日常yy活动,67743,owhat,66,NULL,46,824,0,2019-08-06 21:30,2019-08-31 23:59,2019-09-28 15:37,2019-11-05 17:45
764,【呆驼支持会】2018秋季支持服+套装,45830,owhat,2775,NULL,NULL,825,1,2018-09-08 14:00,2018-09-27 20:00,2019-09-28 15:37,2019-10-13 13:58
765,【呆驼】2018夏季毛巾售卖2.0,42570,owhat,348,NULL,NULL,825,1,2018-07-20 20:00,2018-07-23 20:00,2019-09-28 15:37,2019-10-13 13:58
766,2017呆驼支持会秋冬季支持物,26152,owhat,21880,NULL,NULL,825,1,2017-10-21 19:28,2017-11-01 19:28,2019-09-28 15:37,2019-10-13 13:58
767,戴萌Owhat生日开屏支持,53034,owhat,0,NULL,NULL,826,1,2019-01-09 12:12,2019-02-01 00:00,2019-09-28 15:37,2019-10-13 13:58
768,测试链接test,67258,owhat,17,NULL,NULL,827,1,2019-07-31 20:33,2019-08-05 19:23,2019-09-28 15:37,2019-10-13 13:58
